TRANSACTION_NBR,EMPLID,EMPL_RCD,BGN_DT,PIN_TAKE_NUM,END_DT,SEQNUM,OPRID,EMPLID_CURR_APPR,ACTION_DT,HR_WF_ACTION,HGA_APPR_PRCS
60,K0W003,0,1/26/2007,2344,1/26/2007,2,BGONZALES,K0W003,9/19/2006,SUB,REQ
61,K0W003,0,11/29/2006,2343,11/30/2006,1,BGONZALES,K0W003,8/29/2006,SAV,REQ
61,K0W003,0,11/29/2006,2343,11/30/2006,2,BGONZALES,K0W003,9/19/2006,SUB,REQ
61,K0W003,0,11/29/2006,2343,11/30/2006,3,ASMITH,K0W001,9/19/2006,DNY,REQ
62,K0W103,0,12/26/2006,2392,12/28/2006,1,HAM_K0W103,K0W103,8/29/2006,SAV,REQ
62,K0W103,0,12/26/2006,2392,12/28/2006,2,HAM_K0W103,K0W103,9/19/2006,SUB,REQ
62,K0W103,0,12/26/2006,2392,12/28/2006,3,HAM_K0W101,K0W101,9/19/2006,APV,REQ
63,K0W103,0,1/26/2007,2344,1/26/2007,1,HAM_K0W103,K0W103,8/29/2006,SAV,REQ
63,K0W103,0,1/26/2007,2344,1/26/2007,2,HAM_K0W103,K0W103,9/19/2006,SUB,REQ
64,K0W103,0,11/29/2006,2343,11/30/2006,2,HAM_K0W103,K0W103,9/19/2006,SUB,REQ
22,K0W006,0,9/21/2004,2342,9/21/2004,1,LJONES,K0W006,9/21/2004,SUB,REQ
22,K0W006,0,9/21/2004,2342,9/21/2004,2,ASMITH,K0W001,9/21/2004,DNY,REQ
68,K0W007,0,12/26/2006,2392,12/28/2006,2,RLIMBO,K0W007,9/19/2006,SUB,REQ
68,K0W007,0,12/26/2006,2392,12/28/2006,3,LJONES,K0W006,9/19/2006,APV,REQ
69,K0W007,0,1/26/2007,2344,1/26/2007,1,RLIMBO,K0W007,8/29/2006,SAV,REQ
69,K0W007,0,1/26/2007,2344,1/26/2007,2,RLIMBO,K0W007,9/19/2006,SUB,REQ
70,K0W007,0,11/29/2006,2343,11/30/2006,1,RLIMBO,K0W007,8/29/2006,SAV,REQ
70,K0W007,0,11/29/2006,2343,11/30/2006,2,RLIMBO,K0W007,9/19/2006,SUB,REQ
70,K0W007,0,11/29/2006,2343,11/30/2006,3,LJONES,K0W006,9/19/2006,DNY,REQ
71,K0W007,0,2/13/2007,2342,2/13/2007,1,RLIMBO,K0W007,8/29/2006,SAV,REQ
71,K0W007,0,2/13/2007,2342,2/13/2007,2,RLIMBO,K0W007,9/19/2006,SUB,REQ
71,K0W007,0,2/13/2007,2342,2/13/2007,3,LJONES,K0W006,9/19/2006,PSH,REQ
72,K0W007,0,3/6/2007,2342,3/6/2007,1,RLIMBO,K0W007,8/29/2006,SAV,REQ
72,K0W007,0,3/6/2007,2342,3/6/2007,2,RLIMBO,K0W007,9/19/2006,SUB,REQ
72,K0W007,0,3/6/2007,2342,3/6/2007,3,LJONES,K0W006,9/19/2006,APV,REQ
72,K0W007,0,3/6/2007,2342,3/6/2007,4,ASMITH,K0W001,9/19/2006,APV,REQ
73,K0W007,0,4/24/2007,2342,4/24/2007,1,RLIMBO,K0W007,8/29/2006,SAV,REQ
73,K0W007,0,4/24/2007,2342,4/24/2007,2,RLIMBO,K0W007,9/19/2006,SUB,REQ
73,K0W007,0,4/24/2007,2342,4/24/2007,3,LJONES,K0W006,9/19/2006,APV,REQ
73,K0W007,0,4/24/2007,2342,4/24/2007,4,ASMITH,K0W001,9/19/2006,DNY,REQ
74,K0W107,0,12/26/2006,2392,12/28/2006,1,HAM_K0W107,K0W107,8/29/2006,SAV,REQ
74,K0W107,0,12/26/2006,2392,12/28/2006,2,HAM_K0W107,K0W107,9/19/2006,SUB,REQ
74,K0W107,0,12/26/2006,2392,12/28/2006,3,HAM_K0W106,K0W106,9/19/2006,APV,REQ
92,K0W202,0,2/5/2007,2343,2/5/2007,4,HAM_K0W202,K0W202,9/19/2006,SUB,REQ
93,K0W202,1,2/5/2007,2343,2/5/2007,1,HAM_K0W202,K0W202,8/29/2006,SAV,REQ
94,K0W202,1,12/21/2006,2343,12/21/2006,1,HAM_K0W202,K0W202,8/29/2006,SAV,REQ
95,K0W001,0,1/3/2007,2392,1/3/2007,1,ASMITH,K0W001,8/29/2006,SAV,REQ
95,K0W001,0,1/3/2007,2392,1/3/2007,2,ASMITH,K0W001,9/19/2006,CAN,REQ
96,K0W001,0,1/5/2007,2392,1/5/2007,1,ASMITH,K0W001,8/29/2006,SAV,REQ
96,K0W001,0,1/5/2007,2392,1/5/2007,2,ASMITH,K0W001,9/19/2006,SUB,REQ
97,K0W201,0,1/3/2007,2392,1/3/2007,1,HAM_K0W201,K0W201,8/29/2006,SAV,REQ
97,K0W201,0,1/3/2007,2392,1/3/2007,2,HAM_K0W201,K0W201,9/19/2006,CAN,REQ
98,K0W201,0,1/5/2007,2392,1/5/2007,1,HAM_K0W201,K0W201,8/29/2006,SAV,REQ
98,K0W201,0,1/5/2007,2392,1/5/2007,2,HAM_K0W201,K0W201,9/19/2006,SUB,REQ
99,K0W201,0,5/10/2007,2392,5/10/2007,1,HAM_K0W201,K0W201,8/29/2006,SAV,REQ
102,K0W001,0,5/10/2007,2392,5/10/2007,1,ASMITH,K0W001,8/29/2006,SAV,REQ
505,KNG003,0,7/9/2012,161022,7/13/2012,1,SAMPLE,KU0007,3/14/2014,SAV,REQ
506,KNG003,0,7/9/2012,161022,7/12/2012,1,SAMPLE,KU0007,3/14/2014,SAV,REQ
509,KY0001,0,1/6/2014,70390,1/12/2014,1,SAMPLE,KU0007,3/20/2014,SAV,REQ
511,KR0039,0,2/1/2014,220436,2/28/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
514,KR0041,0,1/1/2014,220250,3/31/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
515,KR0042,0,1/1/2014,220244,3/31/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
3,K1GSMK08,0,8/2/2004,180514,8/7/2004,1,SAMPLE_K1GSMK08,K1GSMK08,9/20/2004,SUB,REQ
4,K1GSMK08,0,11/20/2004,180512,11/20/2004,1,SAMPLE_K1GSMK08,K1GSMK08,9/20/2004,SAV,REQ
5,K1GSMK08,0,9/20/2004,180512,9/20/2004,1,SAMPLE_K1GSMK08,K1GSMK08,9/20/2004,SUB,REQ
6,K0W002,0,2/10/2005,2392,2/14/2005,1,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
6,K0W002,0,2/10/2005,2392,2/14/2005,2,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
6,K0W002,0,2/10/2005,2392,2/14/2005,3,DTRAVANTTI,K0W002,9/21/2004,CAN,REQ
7,K0W002,0,2/22/2005,2392,2/24/2005,1,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
7,K0W002,0,2/22/2005,2392,2/24/2005,2,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
284,KU0046,0,10/3/2011,2392,10/5/2011,1,SAMPLE,KU0007,6/9/2012,SAV,REQ
285,KU0046,0,10/6/2011,2392,10/6/2011,1,SAMPLE,KU0007,6/9/2012,SAV,REQ
124,K0W208,0,1/5/2007,2392,1/5/2007,1,HAM_K0W201,K0W201,8/29/2006,SAV,REQ
124,K0W208,0,1/5/2007,2392,1/5/2007,2,HAM_K0W201,K0W201,8/29/2006,SUB,REQ
124,K0W208,0,1/5/2007,2392,1/5/2007,3,HAM_K0W201,K0W201,8/29/2006,APV,REQ
125,K0W207,0,1/3/2007,2343,1/3/2007,1,HAM_K0W201,K0W201,8/29/2006,SUB,REQ
126,K0W207,0,1/4/2007,2343,1/4/2007,1,HAM_K0W201,K0W201,8/29/2006,SUB,REQ
127,K0W207,0,1/5/2007,2343,1/5/2007,1,HAM_K0W201,K0W201,8/29/2006,SAV,REQ
128,K0W205,0,1/3/2007,2343,1/3/2007,1,HAM_K0W201,K0W201,8/29/2006,SUB,REQ
129,K0W204,0,1/1/2007,2343,1/1/2007,1,HAM_K0W201,K0W201,8/29/2006,SUB,REQ
129,K0W204,0,1/1/2007,2343,1/1/2007,2,HAM_K0W201,K0W201,8/29/2006,APV,REQ
130,K0W204,0,1/2/2007,2343,1/2/2007,1,HAM_K0W201,K0W201,8/29/2006,SUB,REQ
8,K0W002,0,2/15/2005,2392,2/17/2005,1,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
8,K0W002,0,2/15/2005,2392,2/17/2005,2,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
8,K0W002,0,2/15/2005,2392,2/17/2005,3,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
8,K0W002,0,2/15/2005,2392,2/17/2005,4,DTRAVANTTI,K0W002,9/21/2004,SAV,REQ
245,K0W131,0,1/5/2010,2438,1/6/2010,1,SAMPLE,KU0007,10/17/2011,SAV,REQ
246,K0W131,0,1/7/2010,2500,1/14/2010,1,SAMPLE,KU0007,10/17/2011,SAV,REQ
247,K0W131,0,1/15/2010,2343,1/15/2010,1,SAMPLE,KU0007,10/17/2011,SAV,REQ
248,K0W131,0,1/17/2010,2392,1/18/2010,1,SAMPLE,KU0007,10/17/2011,SAV,REQ
12,K0W002,0,7/7/2005,2342,7/13/2005,1,DTRAVANTTI,K0W002,9/21/2004,SUB,REQ
23,K0W002,0,7/6/2005,2343,7/6/2005,1,DTRAVANTTI,K0W002,7/7/2005,SAV,REQ
64,K0W103,0,11/29/2006,2343,11/30/2006,1,HAM_K0W103,K0W103,8/29/2006,SAV,REQ
288,KNG003,0,8/22/2011,161050,8/24/2011,1,SAMPLE, ,6/18/2012,SAV,REQ
64,K0W103,0,11/29/2006,2343,11/30/2006,3,HAM_K0W101,K0W101,9/19/2006,DNY,REQ
76,K0W107,0,11/29/2006,2343,11/30/2006,1,HAM_K0W107,K0W107,8/29/2006,SAV,REQ
77,K0W107,0,2/13/2007,2342,2/13/2007,1,HAM_K0W107,K0W107,8/29/2006,SAV,REQ
77,K0W107,0,2/13/2007,2342,2/13/2007,2,HAM_K0W107,K0W107,9/19/2006,SUB,REQ
83,K0W207,0,2/13/2007,2342,2/13/2007,1,HAM_K0W207,K0W207,8/29/2006,SAV,REQ
83,K0W207,0,2/13/2007,2342,2/13/2007,2,HAM_K0W207,K0W207,9/19/2006,SUB,REQ
100,K0W201,0,4/2/2007,2344,4/6/2007,1,HAM_K0W201,K0W201,8/29/2006,SAV,REQ
101,K0W001,0,4/9/2007,2344,4/13/2007,1,ASMITH,K0W001,8/29/2006,SAV,REQ
106,K0W101,0,4/9/2007,2344,4/13/2007,1,HAM_K0W101,K0W101,8/29/2006,SAV,REQ
108,K0W006,0,2/5/2007,2344,2/9/2007,1,LJONES,K0W006,8/29/2006,SAV,REQ
109,K0W006,0,5/10/2007,2392,5/10/2007,1,LJONES,K0W006,8/29/2006,SAV,REQ
110,K0W006,0,4/23/2007,2343,4/24/2007,1,LJONES,K0W006,8/29/2006,SAV,REQ
112,K0W007,0,6/12/2007,2342,6/12/2007,1,RLIMBO,K0W007,8/29/2006,SAV,REQ
113,K0W107,0,6/12/2007,2342,6/12/2007,1,HAM_K0W107,K0W107,8/29/2006,SAV,REQ
115,K0W106,0,1/5/2007,2392,1/5/2007,1,HAM_K0W106,K0W106,8/29/2006,SAV,REQ
118,K0W207,0,6/12/2007,2342,6/12/2007,1,HAM_K0W207,K0W207,8/29/2006,SAV,REQ
120,K0W206,0,1/5/2007,2392,1/5/2007,1,HAM_K0W206,K0W206,8/29/2006,SAV,REQ
122,K0W206,0,7/3/2007,2392,7/5/2007,1,HAM_K0W206,K0W206,8/29/2006,SAV,REQ
123,K0W208,0,1/1/2007,2343,1/4/2007,1,HAM_K0W201,K0W201,8/29/2006,SUB,REQ
274,K0W132,0,5/29/2012,2438,5/29/2012,1,SAMPLE,KU0007,5/29/2012,SUB,REQ
275,K0W132,0,5/31/2012,2342,5/31/2012,1,SAMPLE,KU0007,5/29/2012,SUB,REQ
276,K0W132,0,7/1/2012,2439,7/6/2012,1,SAMPLE,KU0007,5/29/2012,SUB,REQ
277,K0W133,0,5/29/2012,2501,5/30/2012,1,SAMPLE,KU0007,5/29/2012,SUB,REQ
278,K0W133,0,6/5/2012,2500,6/5/2012,1,SAMPLE,KU0007,5/29/2012,SUB,REQ
427,K0W202,0,8/28/2012,2392,8/30/2012,1,HAM_K0W202,K0W202,8/21/2012,SUB,REQ
290,KNG006,0,7/11/2011,161031,7/14/2011,1,SAMPLE, ,6/18/2012,SUB,REQ
291,KNG006,0,8/8/2011,161031,8/11/2011,1,SAMPLE, ,6/18/2012,SUB,REQ
15,K0W004,0,12/11/2005,2343,12/16/2005,1,OWILLS,K0W004,9/21/2004,SAV,REQ
16,K0W007,0,3/21/2005,2343,3/22/2005,1,LJONES,K0W007,9/21/2004,SUB,REQ
17,K0W005,0,9/21/2004,2342,9/21/2004,1,WSMITHERSON,K0W005,9/21/2004,SUB,REQ
17,K0W005,0,9/21/2004,2342,9/21/2004,2,ASMITH,K0W001,9/21/2004,APV,REQ
75,K0W107,0,1/26/2007,2344,1/26/2007,1,HAM_K0W107,K0W107,8/29/2006,SAV,REQ
75,K0W107,0,1/26/2007,2344,1/26/2007,2,HAM_K0W107,K0W107,9/19/2006,SUB,REQ
103,K0W101,0,1/3/2007,2392,1/3/2007,1,HAM_K0W101,K0W101,8/29/2006,SAV,REQ
103,K0W101,0,1/3/2007,2392,1/3/2007,2,HAM_K0W101,K0W101,9/19/2006,CAN,REQ
104,K0W101,0,1/5/2007,2392,1/5/2007,1,HAM_K0W101,K0W101,8/29/2006,SAV,REQ
104,K0W101,0,1/5/2007,2392,1/5/2007,2,HAM_K0W101,K0W101,9/19/2006,SUB,REQ
105,K0W101,0,1/28/2007,2343,1/29/2007,1,HAM_K0W101,K0W101,8/29/2006,SAV,REQ
796,KY0001,0,2/10/2014,70412,2/23/2014,1,SAMPLE,KU0007,7/23/2014,SAV,REQ
647,KNG001,0,9/24/2014,161050,10/3/2014,2,SAMPLE,KU0007,9/8/2014,SAV,REQ
653,KNG008,0,9/5/2014,161050,9/19/2014,3,SAMPLE,KU0007,9/8/2014,SAV,REQ
513,KR0040,0,1/1/2014,220245,3/31/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
517,KR0042,1,4/1/2014,220437,4/15/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
516,KR0042,1,2/1/2014,220437,2/28/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
521,KR0044,0,4/1/2014,220246,4/15/2014,1,SAMPLE,KU0007,4/8/2014,SAV,REQ
549,KU0046,0,10/27/2014,2392,10/27/2014,1,RCHANNING,KU0046,5/26/2014,SAV,REQ
552,KU0046,0,7/29/2014,2343,7/29/2014,2,SAMPLE,KU0007,5/27/2014,APV,REQ
556,K0W203,0,1/10/2014,2392,1/13/2014,2,SAMPLE,KU0007,5/28/2014,SAV,REQ
557,K0W203,0,1/2/2014,2343,1/2/2014,1,SAMPLE,KU0007,5/28/2014,SAV,REQ
562,K0W233,0,1/20/2014,2342,1/24/2014,1,SAMPLE,KU0007,5/28/2014,SAV,REQ
566,K0W239,0,1/27/2014,2343,1/29/2014,1,SAMPLE,KU0007,5/28/2014,SAV,REQ
114,K0W106,0,1/3/2007,2392,1/3/2007,1,HAM_K0W106,K0W106,8/29/2006,SAV,REQ
116,K0W106,0,5/10/2007,2392,5/10/2007,1,HAM_K0W106,K0W106,8/29/2006,SAV,REQ
117,K0W106,0,7/3/2007,2392,7/5/2007,1,HAM_K0W106,K0W106,8/29/2006,SAV,REQ
119,K0W206,0,1/3/2006,2392,1/3/2006,1,HAM_K0W206,K0W206,8/29/2006,SAV,REQ
121,K0W206,0,5/10/2007,2392,5/10/2007,1,HAM_K0W206,K0W206,8/29/2006,SAV,REQ
